--- WORKSHEET: DASHBOARD ---
,,,,,,,,,,,,,,,,
,🏆  BUSINESS PERFORMANCE DASHBOARD  |  15-Year Projection  |  2025–2039,,,,,,,,,,,,,,,
,English Academy & Test Prep · Indonesia · Group Classes Only · Live from Income Statement,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Metric,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
,💰 Gross Revenue (Rp '000),3228000,4292700,5742716.25,7210859.625,8801803.99,9021849.09,9978002.17,10227452.22,12003705.35,12303797.98,11560443.52,11849454.61,12145690.97,14026349.88,14377008.63
,🗣️  Stream 1 — English Academy,1608000,2632200,3000585,3721734,4132675.463,4235992.349,4341892.158,4450439.462,6082267.264,6234323.946,5857666.874,6004108.546,6154211.26,7885083.177,8082210.256
,🎓 Stream 2 — School Admission,1620000,1660500,2742131.25,3489125.625,4669128.527,4785856.741,5636110.013,5777012.763,5921438.082,6069474.034,5702776.644,5845346.061,5991479.712,6141266.705,6294798.372
,📦 Bundle Revenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,🏭 Total COGS,793200,1133790,1517171.25,1924464.938,2375843.518,2486290.869,2735494.481,2862980.061,3557364.393,3723864.914,3613349.708,3782074.005,3958935.937,4797900.24,5023114.109
,🏢 Total OPEX,1584000,1631400,1680519,1731429.555,1784207.57,2114609.282,2185147.994,2461115.297,2547522.857,2637500.001,2503608.934,2593087.695,2686308.76,2783444.17,2884674.259
,✅ Gross Profit,2434800,3158910,4225545,5286394.688,6425960.472,6535558.221,7242507.689,7364472.164,8446340.953,8579933.066,7947093.81,8067380.602,8186755.035,9228449.641,9353894.519
,📊 Operating Profit,850800,1527510,2545026,3554965.133,4641752.901,4420948.939,5057359.695,4903356.867,5898818.096,5942433.065,5443484.876,5474292.906,5500446.275,6445005.471,6469220.261
,🏆 Net Profit,659724,1187557.8,1981220.28,2768972.803,3616667.263,3444440.173,3940840.562,3820718.356,4597178.115,4631197.791,4242018.204,4266048.467,4286448.094,5023204.267,5042091.803
,📈 Gross Margin %,0.7542750929,0.7358795164,0.73580947,0.7331157397,0.7300731167,0.7244144915,0.7258474758,0.7200690848,0.7036444755,0.6973402099,0.6874384878,0.6808229467,0.6740460509,0.6579366492,0.6506147948
,📈 Operating Margin %,0.2635687732,0.3558389825,0.443174604,0.4930015723,0.5273638116,0.4900269219,0.5068509316,0.4794309237,0.4914164357,0.4829755068,0.4708716294,0.4619869089,0.4528722398,0.4594927066,0.4499698392
,📈 Net Margin %,0.2043754647,0.2766458872,0.34499707,0.3840003755,0.4109006821,0.3817887152,0.3949528668,0.3735747938,0.3829799201,0.37640392,0.3669425136,0.3600206599,0.3529192455,0.3581262631,0.3507052081
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,💡 HOW TO USE: Open the 'Assumptions' tab → update any blue/yellow cell → all 15 years recalculate automatically. Use 'Year 1 Monthly' to record actual monthly figures and track real performance.,,,,,,,,,,,,,,,


--- WORKSHEET: ASSUMPTIONS ---
📊  INCOME STATEMENT PROJECTION — MONTHLY ASSUMPTIONS  |  15-Year Horizon (2025–2039),,,,,,,,,,,,,,,,,,
English Academy & Test Prep · Indonesia · Group Classes Only · Figures in IDR Rp '000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Legend:,,,Blue = Input (change freely),,Yellow bg = Key assumption,,Black = Formula (auto-calc),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
🗓️  GENERAL SETTINGS,,,,,,,,,,,,,,,,,,
Parameter,Number of Student,Growth Rate,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,
Working months per year,,,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,Fixed at 12 months
Annual price & cost escalation rate,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,Applied to prices & costs yr-over-yr
,,,,,,,,,,,,,,,,,,
🗣️  STREAM 1 — ENGLISH ACADEMY  |  Price per student per cohort (Rp '000),,,,,,,,,,,,,,,,,,
Program,,,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,Class Size / Notes
  IELTS Preparation,,0.025,2500,2562.5,2626.5625,2692.226563,2759.532227,2828.520532,2899.233546,2971.714384,3046.007244,3122.157425,3200.21136,3280.216645,3362.222061,3446.277612,3532.434552,Group · max 12 students · 1 tutor per cohort
  TOEFL Preparation,,0.025,2500,2562.5,2626.5625,2692.226563,2759.532227,2828.520532,2899.233546,2971.714384,3046.007244,3122.157425,3200.21136,3280.216645,3362.222061,3446.277612,3532.434552,Group · max 12 students · 1 tutor per cohort
  Business Speaking Intensive,,0.025,2500,2562.5,2626.5625,2692.226563,2759.532227,2828.520532,2899.233546,2971.714384,3046.007244,3122.157425,3200.21136,3280.216645,3362.222061,3446.277612,3532.434552,Group · max 8 students · 1 tutor per cohort
  English Foundation,,0.025,2000,2050,2101.25,2153.78125,2207.625781,2262.816426,2319.386836,2377.371507,2436.805795,2497.72594,2560.169088,2624.173316,2689.777648,2757.02209,2825.947642,Group · max 12 students · 1 tutor per cohort
,,,,,,,,,,,,,,,,,,
🗣️  STREAM 1 — COHORTS (1 cohort = 1 tutor = 1 class),,,,,,,,,,,,,,,,,,
Program,,,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,
  IELTS Preparation,12,,2,3,3,3,3,3,3,3,4,4,4,4,4,5,5,cohorts/yr · 12 students each
  TOEFL Preparation,12,,1,2,2,3,3,3,3,3,4,4,4,4,4,5,5,cohorts/yr · 12 students each
  Business Speaking Intensive,8,,1,2,2,3,3,3,3,3,4,4,4,4,4,5,5,cohorts/yr · 8 students each
  English Foundation,12,,1,1,2,2,3,3,3,3,4,4,4,4,4,5,5,cohorts/yr · 12 students each
,,,,,,,,,,,,,,,,,,
🎓  STREAM 2 — SCHOOL ADMISSION TESTS  |  Price per student per cohort (Rp '000),,,,,,,,,,,,,,,,,,
Program,,,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,Class Size / Notes
  SAT Preparation,,0.025,2500,2562.5,2626.5625,2692.226563,2759.532227,2828.520532,2899.233546,2971.714384,3046.007244,3122.157425,3200.21136,3280.216645,3362.222061,3446.277612,3532.434552,Group · max 12 students · 1 tutor per cohort
  GRE Preparation,,0.025,3000,3075,3151.875,3230.671875,3311.438672,3394.224639,3479.080255,3566.057261,3655.208693,3746.58891,3840.253633,3936.259973,4034.666473,4135.533135,4238.921463,Group · max 12 students · 1 tutor per cohort
  GMAT Preparation,,0.025,3500,3587.5,3677.1875,3769.117188,3863.345117,3959.928745,4058.926964,4160.400138,4264.410141,4371.020395,4480.295905,4592.303302,4707.110885,4824.788657,4945.408373,Group · max 12 students · 1 tutor per cohort
,,,,,,,,,,,,,,,,,,
🎓  STREAM 2 — COHORTS (1 cohort = 1 tutor = 1 class),,,,,,,,,,,,,,,,,,
Program,,,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,
  SAT Preparation,15,,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,cohorts/yr · 12 students each
  GRE Preparation,15,,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,cohorts/yr · 12 students each
